"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,3514243.13304049,2973741.59162575,5422818.85552116,33592.4484219875,11.049435933431,5857071.965717,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,0,13037.9887021409,7055223.2662742,20072.9669326023,6.57674026489258,0,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,0,41087.308422158,7169699.93322797,18960.8694954865,6.16554260253906,0,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,0,41087.308422158,7169699.93322797,18960.8694954865,6.16554260253906,0,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,0,41087.308422158,7169699.93322797,18960.8694954865,6.16554260253906,0,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,0,41087.308422158,7169699.93322797,18960.8694954865,6.16554260253906,0,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,0,41087.308422158,7169699.93322797,18960.8694954865,6.16554260253906,0,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,9786588.23959108,8763109.66759529,4.75062570854587e-25,1687.46149077425,0.59190559387207,18123311.9414759,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,9786588.23959108,8763109.66759529,4.75062570854587e-25,1687.46149077425,0.59190559387207,18123311.9414759,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,9786588.23959108,8763109.66759529,4.75062570854587e-25,1687.46149077425,0.59190559387207,18123311.9414759,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,9786588.23959108,8763109.66759529,4.75062570854587e-25,1687.46149077425,0.59190559387207,18123311.9414759,2850.89633928846
"12",12,1189,"Ethiopia","Germany, Luxembourg",500,"Peas",7.5460377,40.6346851,5269554.42269544,4532317.50386102,7456140.74462321,51662.1302387741,16.9266662597656,9758434.15060013,3052.11489645625
"13",13,1189,"Ethiopia","Germany, Luxembourg",500,"Castor Oil Plant",7.5460377,40.6346851,5269554.42269544,4532317.50386102,7456140.74462321,51662.1302387741,16.9266662597656,9758434.15060013,3052.11489645625
