"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,9268568.62644553,8546630.68220269,11517711.3602915,23004.4029747947,7.56675052868277,15447615.3052033,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,0,14157.33747454,12209464.6004653,9680.13246792409,3.17161469876625,0,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,0,43001.6698414433,11625734.4332414,8388.48894728898,2.72770117360649,0,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,0,43001.6698414433,11625734.4332414,8388.48894728898,2.72770117360649,0,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,0,43001.6698414433,11625734.4332414,8388.48894728898,2.72770117360649,0,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,0,43001.6698414433,11625734.4332414,8388.48894728898,2.72770117360649,0,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,0,43001.6698414433,11625734.4332414,8388.48894728898,2.72770117360649,0,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,11822443.870738,11094479.566441,4.84455660358746e-25,1337.71861494689,0.469227378250014,21893415.2843497,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,11822443.870738,11094479.566441,4.84455660358746e-25,1337.71861494689,0.469227378250014,21893415.2843497,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,11822443.870738,11094479.566441,4.84455660358746e-25,1337.71861494689,0.469227378250014,21893415.2843497,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,11822443.870738,11094479.566441,4.84455660358746e-25,1337.71861494689,0.469227378250014,21893415.2843497,2850.89633928846
"12",12,1189,"Ethiopia","Germany, Luxembourg",500,"Peas",7.5460377,40.6346851,17680010.7740386,16197659.8197684,11166535.1075907,30943.0213968273,10.1382229852338,32740761.5206032,3052.11489645625
