"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,10585605.7807498,10493500.8750488,17301875.8723469,60305.5085878,19.8360609266493,17642676.9197791,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,11241004.9227157,11000527.9256554,21263714.1464272,59594.8077668939,19.5257419162326,16384857.0694205,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,3205298.70322731,3188623.33024545,22895929.042138,48516.0170563318,15.7760470920139,5342164.27075238,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,3205298.70322731,3188623.33024545,22895929.042138,48516.0170563318,15.7760470920139,5342164.27075238,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,3205298.70322731,3188623.33024545,22895929.042138,48516.0170563318,15.7760470920139,5342164.27075238,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,3205298.70322731,3188623.33024545,22895929.042138,48516.0170563318,15.7760470920139,5342164.27075238,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,3205298.70322731,3188623.33024545,22895929.042138,48516.0170563318,15.7760470920139,5342164.27075238,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,49293737.7553327,49357019.8586452,0,97614.3998757092,34.2398980034722,91284705.4759684,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,49293737.7553327,49357019.8586452,0,97614.3998757092,34.2398980034722,91284705.4759684,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,49293737.7553327,49357019.8586452,0,97614.3998757092,34.2398980034722,91284705.4759684,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,49293737.7553327,49357019.8586452,0,97614.3998757092,34.2398980034722,91284705.4759684,2850.89633928846
