"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,3176601.45653636,3004358.1017489,8157727.22081128,9337.02364766809,3.0711915757921,5294336.07015864,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,0,13769.3580315547,9345683.30014968,5706.25564050499,1.86960708691878,0,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,0,41664.6765238468,9276664.46788241,5090.27186014045,1.65521354491008,0,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,0,41664.6765238468,9276664.46788241,5090.27186014045,1.65521354491008,0,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,0,41664.6765238468,9276664.46788241,5090.27186014045,1.65521354491008,0,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,0,41664.6765238468,9276664.46788241,5090.27186014045,1.65521354491008,0,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,0,41664.6765238468,9276664.46788241,5090.27186014045,1.65521354491008,0,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,12450498.0395313,11743537.8671384,4.85861947103888e-25,764.535620976872,0.268173770628114,23056477.9798765,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,12450498.0395313,11743537.8671384,4.85861947103888e-25,764.535620976872,0.268173770628114,23056477.9798765,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,12450498.0395313,11743537.8671384,4.85861947103888e-25,764.535620976872,0.268173770628114,23056477.9798765,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,12450498.0395313,11743537.8671384,4.85861947103888e-25,764.535620976872,0.268173770628114,23056477.9798765,2850.89633928846
"12",12,1189,"Ethiopia","Germany, Luxembourg",500,"Peas",7.5460377,40.6346851,7105595.08438955,6370617.81849055,10459291.6817489,14251.1197933036,4.66926058709333,13158509.5190286,3052.11489645625
"13",13,1189,"Ethiopia","Germany, Luxembourg",500,"Castor Oil Plant",7.5460377,40.6346851,7105595.08438955,6370617.81849055,10459291.6817489,14251.1197933036,4.66926058709333,13158509.5190286,3052.11489645625
"14",14,1205,"Ethiopia","India",1000,"Corn (Maize)",7.9219687,34.1531947,1228012.04362591,1197681.02312608,9494062.20860771,5747.50804631676,1.88312309375708,2274096.41158249,3052.11489645625
"15",15,1205,"Ethiopia","India",1000,"Oil Palm",7.9219687,34.1531947,1228012.04362591,1197681.02312608,9494062.20860771,5747.50804631676,1.88312309375708,2274096.41158249,3052.11489645625
"16",16,1205,"Ethiopia","India",1000,"Rice",7.9219687,34.1531947,1228012.04362591,1197681.02312608,9494062.20860771,5747.50804631676,1.88312309375708,2274096.41158249,3052.11489645625
"17",17,1205,"Ethiopia","India",1000,"Sugar Cane",7.9219687,34.1531947,1228012.04362591,1197681.02312608,9494062.20860771,5747.50804631676,1.88312309375708,2274096.41158249,3052.11489645625
"18",18,1221,"Ethiopia","India",333.3333333333,"Pulses",8.24478,34.588169,724959.849466124,704301.657817602,10653477.9070606,7863.54491471247,2.57958674776381,1342518.19668311,3048.37390001681
"19",19,1221,"Ethiopia","India",333.3333333333,"Corn (Maize)",8.24478,34.588169,724959.849466124,704301.657817602,10653477.9070606,7863.54491471247,2.57958674776381,1342518.19668311,3048.37390001681
"20",20,1221,"Ethiopia","India",333.3333333333,"Soya Beans",8.24478,34.588169,724959.849466124,704301.657817602,10653477.9070606,7863.54491471247,2.57958674776381,1342518.19668311,3048.37390001681
"21",21,1235,"Ethiopia","Saudi Arabia, Ethiopia",1400,"Pineapple",7.3410659,37.3496638,0,57999.8531430136,16164656.552779,13140.7657823614,4.30051868088579,0,3055.62346252958
"22",22,1244,"Ethiopia","Saudi Arabia",70,"Oil Seeds",7.8916667,34.5333333,777664.89017236,777652.25763199,10736146.6693475,6941.63535098482,2.27436894955842,1440120.08074219,3052.11489645625
"23",23,1244,"Ethiopia","Saudi Arabia",70,"Teff",7.8916667,34.5333333,777664.89017236,777652.25763199,10736146.6693475,6941.63535098482,2.27436894955842,1440120.08074219,3052.11489645625
"24",24,1244,"Ethiopia","Saudi Arabia",70,"Corn (Maize)",7.8916667,34.5333333,777664.89017236,777652.25763199,10736146.6693475,6941.63535098482,2.27436894955842,1440120.08074219,3052.11489645625
