"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,2930745.29260738,2552058.23617126,6263224.04759826,10863.9949424176,3.57345241970486,4884575.33304661,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,0,13165.1800461044,7268733.45715704,6478.33697433202,2.12257309901862,0,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,0,41257.5006029988,7447980.54342779,5743.85892351616,1.86774171428916,0,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,0,41257.5006029988,7447980.54342779,5743.85892351616,1.86774171428916,0,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,0,41257.5006029988,7447980.54342779,5743.85892351616,1.86774171428916,0,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,0,41257.5006029988,7447980.54342779,5743.85892351616,1.86774171428916,0,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,0,41257.5006029988,7447980.54342779,5743.85892351616,1.86774171428916,0,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,9576872.30972044,8705988.20789192,4.75167579088851e-25,235.814607146351,0.0827159528379087,17734948.6572583,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,9576872.30972044,8705988.20789192,4.75167579088851e-25,235.814607146351,0.0827159528379087,17734948.6572583,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,9576872.30972044,8705988.20789192,4.75167579088851e-25,235.814607146351,0.0827159528379087,17734948.6572583,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,9576872.30972044,8705988.20789192,4.75167579088851e-25,235.814607146351,0.0827159528379087,17734948.6572583,2850.89633928846
"12",12,1189,"Ethiopia","Germany, Luxembourg",500,"Peas",7.5460377,40.6346851,5184994.40961109,4718866.01143994,7708206.61300357,16812.3658892902,5.50843151704765,9601841.87875192,3052.11489645625
"13",13,1189,"Ethiopia","Germany, Luxembourg",500,"Castor Oil Plant",7.5460377,40.6346851,5184994.40961109,4718866.01143994,7708206.61300357,16812.3658892902,5.50843151704765,9601841.87875192,3052.11489645625
"14",14,1205,"Ethiopia","India",1000,"Corn (Maize)",7.9219687,34.1531947,1074386.84697382,1013409.28353728,7409592.45301237,6879.60630957265,2.25404565128279,1989605.31529558,3052.11489645625
"15",15,1205,"Ethiopia","India",1000,"Oil Palm",7.9219687,34.1531947,1074386.84697382,1013409.28353728,7409592.45301237,6879.60630957265,2.25404565128279,1989605.31529558,3052.11489645625
"16",16,1205,"Ethiopia","India",1000,"Rice",7.9219687,34.1531947,1074386.84697382,1013409.28353728,7409592.45301237,6879.60630957265,2.25404565128279,1989605.31529558,3052.11489645625
"17",17,1205,"Ethiopia","India",1000,"Sugar Cane",7.9219687,34.1531947,1074386.84697382,1013409.28353728,7409592.45301237,6879.60630957265,2.25404565128279,1989605.31529558,3052.11489645625
