"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,14929080.4493285,14097945.7761011,16673061.5517492,8427.69152587971,2.77208842928447,24881799.8210868,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,13529674.7451559,13577413.4062851,20574637.3614974,4149.34643460912,1.35949876573351,19720816.4158114,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,4592339.81339026,4495313.78780098,22053524.2616751,2628.18710460699,0.854612683492994,7653899.53256612,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,4592339.81339026,4495313.78780098,22053524.2616751,2628.18710460699,0.854612683492994,7653899.53256612,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,4592339.81339026,4495313.78780098,22053524.2616751,2628.18710460699,0.854612683492994,7653899.53256612,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,4592339.81339026,4495313.78780098,22053524.2616751,2628.18710460699,0.854612683492994,7653899.53256612,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,4592339.81339026,4495313.78780098,22053524.2616751,2628.18710460699,0.854612683492994,7653899.53256612,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,45929366.866146,46091149.6652437,0,5079.70546936327,1.78179241362072,85054383.3432405,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,45929366.866146,46091149.6652437,0,5079.70546936327,1.78179241362072,85054383.3432405,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,45929366.866146,46091149.6652437,0,5079.70546936327,1.78179241362072,85054383.3432405,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,45929366.866146,46091149.6652437,0,5079.70546936327,1.78179241362072,85054383.3432405,2850.89633928846
"12",12,1189,"Ethiopia","Germany, Luxembourg",500,"Peas",7.5460377,40.6346851,30496611.3318622,30735434.1064933,15714831.7853733,20110.1659800502,6.58892822265625,56475205.8941355,3052.11489645625
"13",13,1189,"Ethiopia","Germany, Luxembourg",500,"Castor Oil Plant",7.5460377,40.6346851,30496611.3318622,30735434.1064933,15714831.7853733,20110.1659800502,6.58892822265625,56475205.8941355,3052.11489645625
"14",14,1205,"Ethiopia","India",1000,"Corn (Maize)",7.9219687,34.1531947,20950285.5676652,20754746.4170693,22557791.1161759,4874.94306858046,1.59723445347377,38796825.125306,3052.11489645625
"15",15,1205,"Ethiopia","India",1000,"Oil Palm",7.9219687,34.1531947,20950285.5676652,20754746.4170693,22557791.1161759,4874.94306858046,1.59723445347377,38796825.125306,3052.11489645625
"16",16,1205,"Ethiopia","India",1000,"Rice",7.9219687,34.1531947,20950285.5676652,20754746.4170693,22557791.1161759,4874.94306858046,1.59723445347377,38796825.125306,3052.11489645625
"17",17,1205,"Ethiopia","India",1000,"Sugar Cane",7.9219687,34.1531947,20950285.5676652,20754746.4170693,22557791.1161759,4874.94306858046,1.59723445347377,38796825.125306,3052.11489645625
"18",18,1221,"Ethiopia","India",333.3333333333,"Pulses",8.24478,34.588169,21900331.9153135,21854260.2389755,21147310.6272822,8041.78829645648,2.63805837479849,40556169.937902,3048.37390001681
"19",19,1221,"Ethiopia","India",333.3333333333,"Corn (Maize)",8.24478,34.588169,21900331.9153135,21854260.2389755,21147310.6272822,8041.78829645648,2.63805837479849,40556169.937902,3048.37390001681
"20",20,1221,"Ethiopia","India",333.3333333333,"Soya Beans",8.24478,34.588169,21900331.9153135,21854260.2389755,21147310.6272822,8041.78829645648,2.63805837479849,40556169.937902,3048.37390001681
"21",21,1235,"Ethiopia","Saudi Arabia, Ethiopia",1400,"Pineapple",7.3410659,37.3496638,18429187.9782813,17995152.9282687,24023806.2616155,19160.5579809617,6.27058870830233,34128128.6486759,3055.62346252958
"22",22,1244,"Ethiopia","Saudi Arabia",70,"Oil Seeds",7.8916667,34.5333333,19709808.7577773,19753437.0114852,24265602.5280896,6905.18256565754,2.2624254983569,36499642.9499486,3052.11489645625
"23",23,1244,"Ethiopia","Saudi Arabia",70,"Teff",7.8916667,34.5333333,19709808.7577773,19753437.0114852,24265602.5280896,6905.18256565754,2.2624254983569,36499642.9499486,3052.11489645625
"24",24,1244,"Ethiopia","Saudi Arabia",70,"Corn (Maize)",7.8916667,34.5333333,19709808.7577773,19753437.0114852,24265602.5280896,6905.18256565754,2.2624254983569,36499642.9499486,3052.11489645625
"25",25,1244,"Ethiopia","Saudi Arabia",70,"Rice",7.8916667,34.5333333,19709808.7577773,19753437.0114852,24265602.5280896,6905.18256565754,2.2624254983569,36499642.9499486,3052.11489645625
"26",26,1244,"Ethiopia","Saudi Arabia",70,"Sugar Cane",7.8916667,34.5333333,19709808.7577773,19753437.0114852,24265602.5280896,6905.18256565754,2.2624254983569,36499642.9499486,3052.11489645625
"27",27,1297,"Ethiopia","United States of America",3000,"Wheat",6.916667,37.233333,21393528.1932518,21313237.6868238,24075539.1636046,17291.1033165906,5.65272061786954,39617645.3555044,3058.89933104591
"28",28,1303,"Ethiopia","India",23.3333333333,"Coffee Plant",7.3187397,35.1268781,18245278.0141312,18478860.509593,24634608.3083334,11550.1930117777,3.7799791608538,33787548.9769026,3055.62346252958
"29",29,1303,"Ethiopia","India",23.3333333333,"Eucalyptus",7.3187397,35.1268781,18245278.0141312,18478860.509593,24634608.3083334,11550.1930117777,3.7799791608538,33787548.9769026,3055.62346252958
"30",30,1303,"Ethiopia","India",23.3333333333,"Tea",7.3187397,35.1268781,18245278.0141312,18478860.509593,24634608.3083334,11550.1930117777,3.7799791608538,33787548.9769026,3055.62346252958
"31",31,1304,"Ethiopia","India",312.5,"Oil Seeds",11.75,36.183333,24609404.6807916,24708372.2272131,18793833.6214626,15877.6551957737,5.2649894593254,45572972.1764704,3015.70503007391
"32",32,1304,"Ethiopia","India",312.5,"Oil Seeds",11.75,35.2876256,28219527.9226069,28110022.7105987,15665258.6889539,5960.45301225749,1.97647082616412,52258383.814771,3015.70503007391
"33",33,1304,"Ethiopia","India",312.5,"Oil Seeds",11.269533,36.183333,24787157.697905,24719209.5710011,18945328.0898324,13884.6028763225,4.59593128022694,45902144.1581813,3021.06407379463
"34",34,1304,"Ethiopia","India",312.5,"Oil Seeds",11.269533,35.2876256,24208870.2743067,24425111.2698671,18618614.6877845,7136.09284439971,2.36211237831721,44831241.1121301,3021.06407379463
"35",35,1304,"Ethiopia","India",312.5,"Pongamia Pinnata",11.75,36.183333,24609404.6807916,24708372.2272131,18793833.6214626,15877.6551957737,5.2649894593254,45572972.1764704,3015.70503007391
"36",36,1304,"Ethiopia","India",312.5,"Pongamia Pinnata",11.75,35.2876256,28219527.9226069,28110022.7105987,15665258.6889539,5960.45301225749,1.97647082616412,52258383.814771,3015.70503007391
