"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,2774637.43731398,2474501.83812155,5626442.29499274,8153.44000199666,2.68187992156498,4624395.88348898,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,0,12581.8637623662,6046658.94036274,4305.92957410651,1.41080192593864,0,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,0,40590.2192360313,6033142.99989398,4206.85531307187,1.36795127784813,0,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,0,40590.2192360313,6033142.99989398,4206.85531307187,1.36795127784813,0,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,0,40590.2192360313,6033142.99989398,4206.85531307187,1.36795127784813,0,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,0,40590.2192360313,6033142.99989398,4206.85531307187,1.36795127784813,0,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,0,40590.2192360313,6033142.99989398,4206.85531307187,1.36795127784813,0,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,7371234.87406092,6623674.13752938,4.58212695643115e-25,564.035088851703,0.197844825530372,13650434.9841878,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,7371234.87406092,6623674.13752938,4.58212695643115e-25,564.035088851703,0.197844825530372,13650434.9841878,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,7371234.87406092,6623674.13752938,4.58212695643115e-25,564.035088851703,0.197844825530372,13650434.9841878,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,7371234.87406092,6623674.13752938,4.58212695643115e-25,564.035088851703,0.197844825530372,13650434.9841878,2850.89633928846
"12",12,1189,"Ethiopia","Germany, Luxembourg",500,"Peas",7.5460377,40.6346851,5040489.79067693,4032285.92877454,7950810.53400367,12198.0593963011,3.99659246461004,9334240.66358261,3052.11489645625
"13",13,1189,"Ethiopia","Germany, Luxembourg",500,"Castor Oil Plant",7.5460377,40.6346851,5040489.79067693,4032285.92877454,7950810.53400367,12198.0593963011,3.99659246461004,9334240.66358261,3052.11489645625
"14",14,1205,"Ethiopia","India",1000,"Corn (Maize)",7.9219687,34.1531947,1564412.28579812,1346818.00043523,5484178.60570967,4721.7890244649,1.54705480778174,2897059.71952011,3052.11489645625
"15",15,1205,"Ethiopia","India",1000,"Oil Palm",7.9219687,34.1531947,1564412.28579812,1346818.00043523,5484178.60570967,4721.7890244649,1.54705480778174,2897059.71952011,3052.11489645625
