"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,2991028.25167453,2901541.1170838,8569298.548149,15876.8370534866,5.22230745566012,4985047.08612421,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,0,13802.5903085135,9423859.28140409,9569.00849801146,3.13520585647737,0,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,0,41338.6996942758,9343119.13275593,8609.60317314425,2.79960131404376,0,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,0,41338.6996942758,9343119.13275593,8609.60317314425,2.79960131404376,0,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,0,41338.6996942758,9343119.13275593,8609.60317314425,2.79960131404376,0,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,0,41338.6996942758,9343119.13275593,8609.60317314425,2.79960131404376,0,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,0,41338.6996942758,9343119.13275593,8609.60317314425,2.79960131404376,0,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,12484052.2751018,11996330.4509247,4.86584221878617e-25,1749.22095561009,0.613568768356786,23118615.1309238,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,12484052.2751018,11996330.4509247,4.86584221878617e-25,1749.22095561009,0.613568768356786,23118615.1309238,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,12484052.2751018,11996330.4509247,4.86584221878617e-25,1749.22095561009,0.613568768356786,23118615.1309238,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,12484052.2751018,11996330.4509247,4.86584221878617e-25,1749.22095561009,0.613568768356786,23118615.1309238,2850.89633928846
"12",12,1189,"Ethiopia","Germany, Luxembourg",500,"Peas",7.5460377,40.6346851,6804324.94733925,6356225.80392677,10256389.5647661,24054.4502326495,7.88124007408065,12600601.5818446,3052.11489645625
