"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,17293622.2158531,16490130.2406448,16929125.3065893,330715.6557295,108.781039246127,28822703.6930884,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,15381845.9383981,15074379.4529748,20453819.5125445,53655.9462416405,17.5799234504374,22420535.3632639,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,6533086.50509982,6479182.94899335,21167195.5276835,50664.3350490243,16.47461980836,10888477.0392467,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,6533086.50509982,6479182.94899335,21167195.5276835,50664.3350490243,16.47461980836,10888477.0392467,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,6533086.50509982,6479182.94899335,21167195.5276835,50664.3350490243,16.47461980836,10888477.0392467,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,6533086.50509982,6479182.94899335,21167195.5276835,50664.3350490243,16.47461980836,10888477.0392467,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,6533086.50509982,6479182.94899335,21167195.5276835,50664.3350490243,16.47461980836,10888477.0392467,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,45137213.0229646,44950063.7890316,0,33983.6149782358,11.9203264285357,83587431.5240085,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,45137213.0229646,44950063.7890316,0,33983.6149782358,11.9203264285357,83587431.5240085,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,45137213.0229646,44950063.7890316,0,33983.6149782358,11.9203264285357,83587431.5240085,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,45137213.0229646,44950063.7890316,0,33983.6149782358,11.9203264285357,83587431.5240085,2850.89633928846
"12",12,1189,"Ethiopia","Germany, Luxembourg",500,"Peas",7.5460377,40.6346851,34669212.3004681,34588446.0080787,14484951.8722068,575218.178533813,188.465440538194,64202250.2444815,3052.11489645625
"13",13,1189,"Ethiopia","Germany, Luxembourg",500,"Castor Oil Plant",7.5460377,40.6346851,34669212.3004681,34588446.0080787,14484951.8722068,575218.178533813,188.465440538194,64202250.2444815,3052.11489645625
"14",14,1205,"Ethiopia","India",1000,"Corn (Maize)",7.9219687,34.1531947,22399734.6339342,22306565.3990518,22223066.2865006,50497.7086519591,16.5451532347589,41480991.0287701,3052.11489645625
"15",15,1205,"Ethiopia","India",1000,"Oil Palm",7.9219687,34.1531947,22399734.6339342,22306565.3990518,22223066.2865006,50497.7086519591,16.5451532347589,41480991.0287701,3052.11489645625
"16",16,1205,"Ethiopia","India",1000,"Rice",7.9219687,34.1531947,22399734.6339342,22306565.3990518,22223066.2865006,50497.7086519591,16.5451532347589,41480991.0287701,3052.11489645625
"17",17,1205,"Ethiopia","India",1000,"Sugar Cane",7.9219687,34.1531947,22399734.6339342,22306565.3990518,22223066.2865006,50497.7086519591,16.5451532347589,41480991.0287701,3052.11489645625
"18",18,1221,"Ethiopia","India",333.3333333333,"Pulses",8.24478,34.588169,26061544.6256542,25783974.0322252,19775069.7850123,125175.322650389,41.062982021234,48262118.2989301,3048.37390001681
"19",19,1221,"Ethiopia","India",333.3333333333,"Corn (Maize)",8.24478,34.588169,26061544.6256542,25783974.0322252,19775069.7850123,125175.322650389,41.062982021234,48262118.2989301,3048.37390001681
"20",20,1221,"Ethiopia","India",333.3333333333,"Soya Beans",8.24478,34.588169,26061544.6256542,25783974.0322252,19775069.7850123,125175.322650389,41.062982021234,48262118.2989301,3048.37390001681
"21",21,1235,"Ethiopia","Saudi Arabia, Ethiopia",1400,"Pineapple",7.3410659,37.3496638,22385964.8566331,22425471.2481168,23329756.0065864,565048.431942988,184.920831663996,41455489.0937617,3055.62346252958
"22",22,1244,"Ethiopia","Saudi Arabia",70,"Oil Seeds",7.8916667,34.5333333,22579156.2930237,22146202.6922973,24119550.3356385,97883.9184716578,32.0708498180422,41813251.2905694,3052.11489645625
"23",23,1244,"Ethiopia","Saudi Arabia",70,"Teff",7.8916667,34.5333333,22579156.2930237,22146202.6922973,24119550.3356385,97883.9184716578,32.0708498180422,41813251.2905694,3052.11489645625
