"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,18493647.8312978,17954155.9618344,16232400.1675647,15247.4988487741,5.01530164036268,30822745.7669669,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,16183710.7009056,15922025.0074976,20654410.7478567,5245.10826703615,1.71851599463904,23589331.0640816,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,6538898.67219103,6471528.02555084,22745462.1438552,5635.42946907676,1.83248349889585,10898164.2972341,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,6538898.67219103,6471528.02555084,22745462.1438552,5635.42946907676,1.83248349889585,10898164.2972341,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,6538898.67219103,6471528.02555084,22745462.1438552,5635.42946907676,1.83248349889585,10898164.2972341,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,6538898.67219103,6471528.02555084,22745462.1438552,5635.42946907676,1.83248349889585,10898164.2972341,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,6538898.67219103,6471528.02555084,22745462.1438552,5635.42946907676,1.83248349889585,10898164.2972341,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,42911937.3938937,42906330.9559022,0,11887.4615497363,4.1697277399792,79466549.9560776,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,42911937.3938937,42906330.9559022,0,11887.4615497363,4.1697277399792,79466549.9560776,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,42911937.3938937,42906330.9559022,0,11887.4615497363,4.1697277399792,79466549.9560776,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,42911937.3938937,42906330.9559022,0,11887.4615497363,4.1697277399792,79466549.9560776,2850.89633928846
"12",12,1189,"Ethiopia","Germany, Luxembourg",500,"Peas",7.5460377,40.6346851,34834750.0409032,34761811.4992431,14510047.4324043,19670.1465714445,6.44475953191774,64508795.5441038,3052.11489645625
"13",13,1189,"Ethiopia","Germany, Luxembourg",500,"Castor Oil Plant",7.5460377,40.6346851,34834750.0409032,34761811.4992431,14510047.4324043,19670.1465714445,6.44475953191774,64508795.5441038,3052.11489645625
"14",14,1205,"Ethiopia","India",1000,"Corn (Maize)",7.9219687,34.1531947,23780490.6235389,23695560.83213,21525202.3763471,4763.45665456904,1.56070685939766,44037945.7371359,3052.11489645625
"15",15,1205,"Ethiopia","India",1000,"Oil Palm",7.9219687,34.1531947,23780490.6235389,23695560.83213,21525202.3763471,4763.45665456904,1.56070685939766,44037945.7371359,3052.11489645625
"16",16,1205,"Ethiopia","India",1000,"Rice",7.9219687,34.1531947,23780490.6235389,23695560.83213,21525202.3763471,4763.45665456904,1.56070685939766,44037945.7371359,3052.11489645625
"17",17,1205,"Ethiopia","India",1000,"Sugar Cane",7.9219687,34.1531947,23780490.6235389,23695560.83213,21525202.3763471,4763.45665456904,1.56070685939766,44037945.7371359,3052.11489645625
"18",18,1221,"Ethiopia","India",333.3333333333,"Pulses",8.24478,34.588169,26237056.836797,26211899.9376868,19214229.6423098,7337.04923754691,2.40687313242855,48587142.9794684,3048.37390001681
"19",19,1221,"Ethiopia","India",333.3333333333,"Corn (Maize)",8.24478,34.588169,26237056.836797,26211899.9376868,19214229.6423098,7337.04923754691,2.40687313242855,48587142.9794684,3048.37390001681
"20",20,1221,"Ethiopia","India",333.3333333333,"Soya Beans",8.24478,34.588169,26237056.836797,26211899.9376868,19214229.6423098,7337.04923754691,2.40687313242855,48587142.9794684,3048.37390001681
"21",21,1235,"Ethiopia","Saudi Arabia, Ethiopia",1400,"Pineapple",7.3410659,37.3496638,23273458.9790962,23007800.2702971,23276470.9614522,28099.3974041376,9.19596205118666,43098998.247586,3055.62346252958
"22",22,1244,"Ethiopia","Saudi Arabia",70,"Oil Seeds",7.8916667,34.5333333,22669562.9019348,22348684.7336519,23908042.7225838,6439.58051956788,2.10987486973205,41980670.5227315,3052.11489645625
"23",23,1244,"Ethiopia","Saudi Arabia",70,"Teff",7.8916667,34.5333333,22669562.9019348,22348684.7336519,23908042.7225838,6439.58051956788,2.10987486973205,41980670.5227315,3052.11489645625
"24",24,1244,"Ethiopia","Saudi Arabia",70,"Corn (Maize)",7.8916667,34.5333333,22669562.9019348,22348684.7336519,23908042.7225838,6439.58051956788,2.10987486973205,41980670.5227315,3052.11489645625
"25",25,1244,"Ethiopia","Saudi Arabia",70,"Rice",7.8916667,34.5333333,22669562.9019348,22348684.7336519,23908042.7225838,6439.58051956788,2.10987486973205,41980670.5227315,3052.11489645625
"26",26,1244,"Ethiopia","Saudi Arabia",70,"Sugar Cane",7.8916667,34.5333333,22669562.9019348,22348684.7336519,23908042.7225838,6439.58051956788,2.10987486973205,41980670.5227315,3052.11489645625
"27",27,1297,"Ethiopia","United States of America",3000,"Wheat",6.916667,37.233333,25417875.8226232,25311449.1273919,22989639.2361032,17096.6741141638,5.5891587999132,47070139.0292992,3058.89933104591
"28",28,1303,"Ethiopia","India",23.3333333333,"Coffee Plant",7.3187397,35.1268781,22571751.0153653,22776841.8362439,23307247.266615,10930.2189865181,3.57708307995173,41799537.6740068,3055.62346252958
