"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,11188813.9114224,9951157.89425382,12196132.0491175,37686.8636190346,12.396196307558,18648023.4949686,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,0,14274.7487872496,13877879.2521937,20610.0540017774,6.75271236535275,0,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,0,43116.8311152834,13701272.1590445,18482.9910557572,6.01014994611644,0,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,0,43116.8311152834,13701272.1590445,18482.9910557572,6.01014994611644,0,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,0,43116.8311152834,13701272.1590445,18482.9910557572,6.01014994611644,0,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,0,43116.8311152834,13701272.1590445,18482.9910557572,6.01014994611644,0,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,0,43116.8311152834,13701272.1590445,18482.9910557572,6.01014994611644,0,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,15159613.4433818,14534635.6812828,4.89320527133395e-25,14961.677610327,5.2480609007556,28073359.5174101,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,15159613.4433818,14534635.6812828,4.89320527133395e-25,14961.677610327,5.2480609007556,28073359.5174101,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,15159613.4433818,14534635.6812828,4.89320527133395e-25,14961.677610327,5.2480609007556,28073359.5174101,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,15159613.4433818,14534635.6812828,4.89320527133395e-25,14961.677610327,5.2480609007556,28073359.5174101,2850.89633928846
"12",12,1189,"Ethiopia","Germany, Luxembourg",500,"Peas",7.5460377,40.6346851,18176173.1824747,16825772.547019,11098607.6676588,21513.2086051472,7.04862344144571,33659577.759708,3052.11489645625
"13",13,1189,"Ethiopia","Germany, Luxembourg",500,"Castor Oil Plant",7.5460377,40.6346851,18176173.1824747,16825772.547019,11098607.6676588,21513.2086051472,7.04862344144571,33659577.759708,3052.11489645625
"14",14,1205,"Ethiopia","India",1000,"Corn (Maize)",7.9219687,34.1531947,1445338.30956086,1442913.56038356,13105252.1259776,20503.1745837454,6.71769421510022,2676552.38199088,3052.11489645625
"15",15,1205,"Ethiopia","India",1000,"Oil Palm",7.9219687,34.1531947,1445338.30956086,1442913.56038356,13105252.1259776,20503.1745837454,6.71769421510022,2676552.38199088,3052.11489645625
"16",16,1205,"Ethiopia","India",1000,"Rice",7.9219687,34.1531947,1445338.30956086,1442913.56038356,13105252.1259776,20503.1745837454,6.71769421510022,2676552.38199088,3052.11489645625
"17",17,1205,"Ethiopia","India",1000,"Sugar Cane",7.9219687,34.1531947,1445338.30956086,1442913.56038356,13105252.1259776,20503.1745837454,6.71769421510022,2676552.38199088,3052.11489645625
"18",18,1221,"Ethiopia","India",333.3333333333,"Pulses",8.24478,34.588169,2334181.28383992,2264717.93345131,15789562.7861108,28599.1502306434,9.38177243627683,4322558.00194726,3048.37390001681
"19",19,1221,"Ethiopia","India",333.3333333333,"Corn (Maize)",8.24478,34.588169,2334181.28383992,2264717.93345131,15789562.7861108,28599.1502306434,9.38177243627683,4322558.00194726,3048.37390001681
"20",20,1221,"Ethiopia","India",333.3333333333,"Soya Beans",8.24478,34.588169,2334181.28383992,2264717.93345131,15789562.7861108,28599.1502306434,9.38177243627683,4322558.00194726,3048.37390001681
"21",21,1235,"Ethiopia","Saudi Arabia, Ethiopia",1400,"Pineapple",7.3410659,37.3496638,0,0,0,0,0,0,0
"22",22,1244,"Ethiopia","Saudi Arabia",70,"Oil Seeds",7.8916667,34.5333333,803123.068314403,836252.400256755,16171495.9075853,24820.2633725881,8.13215236471157,1487264.95425952,3052.11489645625
"23",23,1244,"Ethiopia","Saudi Arabia",70,"Teff",7.8916667,34.5333333,803123.068314403,836252.400256755,16171495.9075853,24820.2633725881,8.13215236471157,1487264.95425952,3052.11489645625
"24",24,1244,"Ethiopia","Saudi Arabia",70,"Corn (Maize)",7.8916667,34.5333333,803123.068314403,836252.400256755,16171495.9075853,24820.2633725881,8.13215236471157,1487264.95425952,3052.11489645625
"25",25,1244,"Ethiopia","Saudi Arabia",70,"Rice",7.8916667,34.5333333,803123.068314403,836252.400256755,16171495.9075853,24820.2633725881,8.13215236471157,1487264.95425952,3052.11489645625
"26",26,1244,"Ethiopia","Saudi Arabia",70,"Sugar Cane",7.8916667,34.5333333,803123.068314403,836252.400256755,16171495.9075853,24820.2633725881,8.13215236471157,1487264.95425952,3052.11489645625
"27",27,1297,"Ethiopia","United States of America",3000,"Wheat",6.916667,37.233333,10004293.2516336,9308531.81211569,49148805.2574526,184128.025444273,30.0971044675268,18526469.1228034,6117.79866209182
"28",28,1303,"Ethiopia","India",23.3333333333,"Coffee Plant",7.3187397,35.1268781,11908469.9782004,12547945.5374456,38467427.2862331,162144.456751329,26.5321396336411,22052722.1127783,6111.24692505916
"29",29,1303,"Ethiopia","India",23.3333333333,"Eucalyptus",7.3187397,35.1268781,11908469.9782004,12547945.5374456,38467427.2862331,162144.456751329,26.5321396336411,22052722.1127783,6111.24692505916
"30",30,1303,"Ethiopia","India",23.3333333333,"Tea",7.3187397,35.1268781,11908469.9782004,12547945.5374456,38467427.2862331,162144.456751329,26.5321396336411,22052722.1127783,6111.24692505916
"31",31,1304,"Ethiopia","India",312.5,"Oil Seeds",11.75,36.183333,9877078.19758905,8375800.44962206,18932444.8781732,24987.4145389141,8.28576213181621,18290886.0282939,3015.70503007391
"32",32,1304,"Ethiopia","India",312.5,"Oil Seeds",11.75,35.2876256,2009106.71915067,2024375.29040965,11950206.9871795,22116.6199571643,7.33381406225339,3720568.10068496,3015.70503007391
