"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,11817759.0509911,11761087.530537,19113466.2601054,0,0,19696265.7035145,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,11959169.3834577,12081019.2585658,22448161.6229773,0,0,17431652.0032192,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,3295038.87282259,3227075.79432767,24011602.3419965,0,0,5491731.61112197,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,3295038.87282259,3227075.79432767,24011602.3419965,0,0,5491731.61112197,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,3295038.87282259,3227075.79432767,24011602.3419965,0,0,5491731.61112197,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,3295038.87282259,3227075.79432767,24011602.3419965,0,0,5491731.61112197,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,3295038.87282259,3227075.79432767,24011602.3419965,0,0,5491731.61112197,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,47839711.0203342,48076173.243925,0,0,0,88592056.1561381,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,47839711.0203342,48076173.243925,0,0,0,88592056.1561381,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,47839711.0203342,48076173.243925,0,0,0,88592056.1561381,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,47839711.0203342,48076173.243925,0,0,0,88592056.1561381,2850.89633928846
