"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,0,0,6643034.19881696,7093.83284564562,2.33334738110739,0,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,0,0,6059236.06055526,4305.92985842627,1.41080201909365,0,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,0,0,6072207.36982852,4206.85502659266,1.36795118469313,0,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,0,0,6072207.36982852,4206.85502659266,1.36795118469313,0,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,0,0,6072207.36982852,4206.85502659266,1.36795118469313,0,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,0,0,6072207.36982852,4206.85502659266,1.36795118469313,0,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,0,0,6072207.36982852,4206.85502659266,1.36795118469313,0,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,0,0,0,242.125253808966,0.0849295186472463,0,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,0,0,0,242.125253808966,0.0849295186472463,0,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,0,0,0,242.125253808966,0.0849295186472463,0,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,0,0,0,242.125253808966,0.0849295186472463,0,2850.89633928846
"12",12,1189,"Ethiopia","Germany, Luxembourg",500,"Peas",7.5460377,40.6346851,0,-2.0975873132283e-10,9395690.92852976,9923.18852980869,3.25124999105712,0,3052.11489645625
"13",13,1189,"Ethiopia","Germany, Luxembourg",500,"Castor Oil Plant",7.5460377,40.6346851,0,-2.0975873132283e-10,9395690.92852976,9923.18852980869,3.25124999105712,0,3052.11489645625
"14",14,1205,"Ethiopia","India",1000,"Corn (Maize)",7.9219687,34.1531947,0,0,6128376.22436262,4252.91303628882,1.3934314993275,0,3052.11489645625
"15",15,1205,"Ethiopia","India",1000,"Oil Palm",7.9219687,34.1531947,0,0,6128376.22436262,4252.91303628882,1.3934314993275,0,3052.11489645625
"16",16,1205,"Ethiopia","India",1000,"Rice",7.9219687,34.1531947,0,0,6128376.22436262,4252.91303628882,1.3934314993275,0,3052.11489645625
"17",17,1205,"Ethiopia","India",1000,"Sugar Cane",7.9219687,34.1531947,0,0,6128376.22436262,4252.91303628882,1.3934314993275,0,3052.11489645625
"18",18,1221,"Ethiopia","India",333.3333333333,"Pulses",8.24478,34.588169,0,-8.63418813863392e-10,7346506.21070466,6944.15226528329,2.27798573700063,0,3048.37390001681
"19",19,1221,"Ethiopia","India",333.3333333333,"Corn (Maize)",8.24478,34.588169,0,-8.63418813863392e-10,7346506.21070466,6944.15226528329,2.27798573700063,0,3048.37390001681
"20",20,1221,"Ethiopia","India",333.3333333333,"Soya Beans",8.24478,34.588169,0,-8.63418813863392e-10,7346506.21070466,6944.15226528329,2.27798573700063,0,3048.37390001681
"21",21,1235,"Ethiopia","Saudi Arabia, Ethiopia",1400,"Pineapple",7.3410659,37.3496638,0,2.30453613820161e-11,12426952.4344528,10777.8886480702,3.52723062256754,0,3055.62346252958
"22",22,1244,"Ethiopia","Saudi Arabia",70,"Oil Seeds",7.8916667,34.5333333,0,-9.77793284670341e-10,7238602.57801109,6061.32150508468,1.98594145722442,0,3052.11489645625
"23",23,1244,"Ethiopia","Saudi Arabia",70,"Teff",7.8916667,34.5333333,0,-9.77793284670341e-10,7238602.57801109,6061.32150508468,1.98594145722442,0,3052.11489645625
"24",24,1244,"Ethiopia","Saudi Arabia",70,"Corn (Maize)",7.8916667,34.5333333,0,-9.77793284670341e-10,7238602.57801109,6061.32150508468,1.98594145722442,0,3052.11489645625
"25",25,1244,"Ethiopia","Saudi Arabia",70,"Rice",7.8916667,34.5333333,0,-9.77793284670341e-10,7238602.57801109,6061.32150508468,1.98594145722442,0,3052.11489645625
"26",26,1244,"Ethiopia","Saudi Arabia",70,"Sugar Cane",7.8916667,34.5333333,0,-9.77793284670341e-10,7238602.57801109,6061.32150508468,1.98594145722442,0,3052.11489645625
"27",27,1297,"Ethiopia","United States of America",3000,"Wheat",6.916667,37.233333,0,0,9556138.54828002,9262.83309969409,3.02815885625334,0,3058.89933104591
"28",28,1303,"Ethiopia","India",23.3333333333,"Coffee Plant",7.3187397,35.1268781,0,-8.27574616300529e-10,8521685.11689912,8071.91904039084,2.64166025015024,0,3055.62346252958
