"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,3157850.27346875,3151239.2764648,10899271.6335466,20859.6580067937,6.8612877466974,5263083.78911458,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,0,13997.3386373412,10583210.2663251,11847.1800091034,3.88162975871548,0,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,0,41947.5334061696,10355761.3769698,10451.9844843851,3.39869200802702,0,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,0,41947.5334061696,10355761.3769698,10451.9844843851,3.39869200802702,0,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,0,41947.5334061696,10355761.3769698,10451.9844843851,3.39869200802702,0,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,0,41947.5334061696,10355761.3769698,10451.9844843851,3.39869200802702,0,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,0,41947.5334061696,10355761.3769698,10451.9844843851,3.39869200802702,0,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,12943211.194366,12184752.5307269,4.86390677289973e-25,1552.14901789767,0.54444246060699,23968909.2325187,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,12943211.194366,12184752.5307269,4.86390677289973e-25,1552.14901789767,0.54444246060699,23968909.2325187,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,12943211.194366,12184752.5307269,4.86390677289973e-25,1552.14901789767,0.54444246060699,23968909.2325187,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,12943211.194366,12184752.5307269,4.86390677289973e-25,1552.14901789767,0.54444246060699,23968909.2325187,2850.89633928846
"12",12,1189,"Ethiopia","Germany, Luxembourg",500,"Peas",7.5460377,40.6346851,0,0,0,0,0,0,0
"13",13,1189,"Ethiopia","Germany, Luxembourg",500,"Castor Oil Plant",7.5460377,40.6346851,0,0,0,0,0,0,0
"14",14,1205,"Ethiopia","India",1000,"Corn (Maize)",7.9219687,34.1531947,1102173.19648454,1090281.37705346,10437527.8521986,11639.2947178745,3.8135178762073,2041061.55259067,3052.11489645625
"15",15,1205,"Ethiopia","India",1000,"Oil Palm",7.9219687,34.1531947,1102173.19648454,1090281.37705346,10437527.8521986,11639.2947178745,3.8135178762073,2041061.55259067,3052.11489645625
"16",16,1205,"Ethiopia","India",1000,"Rice",7.9219687,34.1531947,1102173.19648454,1090281.37705346,10437527.8521986,11639.2947178745,3.8135178762073,2041061.55259067,3052.11489645625
"17",17,1205,"Ethiopia","India",1000,"Sugar Cane",7.9219687,34.1531947,1102173.19648454,1090281.37705346,10437527.8521986,11639.2947178745,3.8135178762073,2041061.55259067,3052.11489645625
"18",18,1221,"Ethiopia","India",333.3333333333,"Pulses",8.24478,34.588169,2172194.32478417,1504016.52097599,12182914.4828984,16373.9895199811,5.37138489471085,4022582.30689232,3048.37390001681
"19",19,1221,"Ethiopia","India",333.3333333333,"Corn (Maize)",8.24478,34.588169,2172194.32478417,1504016.52097599,12182914.4828984,16373.9895199811,5.37138489471085,4022582.30689232,3048.37390001681
"20",20,1221,"Ethiopia","India",333.3333333333,"Soya Beans",8.24478,34.588169,2172194.32478417,1504016.52097599,12182914.4828984,16373.9895199811,5.37138489471085,4022582.30689232,3048.37390001681
"21",21,1235,"Ethiopia","Saudi Arabia, Ethiopia",1400,"Pineapple",7.3410659,37.3496638,0,58357.8793787235,21771779.6916528,30486.9341048348,9.97732033370251,0,3055.62346252958
"22",22,1244,"Ethiopia","Saudi Arabia",70,"Oil Seeds",7.8916667,34.5333333,785843.732380795,802052.387749988,12305486.8101792,14205.6146504616,4.65435120642261,1455266.20557301,3052.11489645625
"23",23,1244,"Ethiopia","Saudi Arabia",70,"Teff",7.8916667,34.5333333,785843.732380795,802052.387749988,12305486.8101792,14205.6146504616,4.65435120642261,1455266.20557301,3052.11489645625
"24",24,1244,"Ethiopia","Saudi Arabia",70,"Corn (Maize)",7.8916667,34.5333333,785843.732380795,802052.387749988,12305486.8101792,14205.6146504616,4.65435120642261,1455266.20557301,3052.11489645625
"25",25,1244,"Ethiopia","Saudi Arabia",70,"Rice",7.8916667,34.5333333,785843.732380795,802052.387749988,12305486.8101792,14205.6146504616,4.65435120642261,1455266.20557301,3052.11489645625
"26",26,1244,"Ethiopia","Saudi Arabia",70,"Sugar Cane",7.8916667,34.5333333,785843.732380795,802052.387749988,12305486.8101792,14205.6146504616,4.65435120642261,1455266.20557301,3052.11489645625
"27",27,1297,"Ethiopia","United States of America",3000,"Wheat",6.916667,37.233333,2297858.09714927,2354619.91921625,16671507.3122805,24479.3312567998,8.00265997914671,4255292.75521158,3058.89933104591
"28",28,1303,"Ethiopia","India",23.3333333333,"Coffee Plant",7.3187397,35.1268781,1070250.46473329,897714.871955765,14548239.3876195,20521.4073146377,6.7159476834391,1981945.23598741,3055.62346252958
"29",29,1303,"Ethiopia","India",23.3333333333,"Eucalyptus",7.3187397,35.1268781,1070250.46473329,897714.871955765,14548239.3876195,20521.4073146377,6.7159476834391,1981945.23598741,3055.62346252958
"30",30,1303,"Ethiopia","India",23.3333333333,"Tea",7.3187397,35.1268781,1070250.46473329,897714.871955765,14548239.3876195,20521.4073146377,6.7159476834391,1981945.23598741,3055.62346252958
"31",31,1304,"Ethiopia","India",312.5,"Oil Seeds",11.75,36.183333,3490123.84934703,3151251.85080316,16252445.0250464,28074.4586819276,9.30941799743574,6463192.51812119,3015.70503007391
"32",32,1304,"Ethiopia","India",312.5,"Oil Seeds",11.75,35.2876256,2190103.31984328,2175660.9659887,9545084.67176088,12629.3452199114,4.18785825999761,4055746.85451273,3015.70503007391
"33",33,1304,"Ethiopia","India",312.5,"Oil Seeds",11.269533,36.183333,752617.297663895,777460.428207559,16285819.9637024,23362.3028149119,7.73313714778895,1393735.70653643,3021.06407379463
