"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,14425317.9314366,14044120.7280081,16201081.549241,114204.469767608,37.5648406498016,24042196.2431296,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,2395395.57778789,1501281.13619368,15872828.6559959,52258.5731697614,17.1220858134921,3491521.68780499,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,0,43502.5680417846,16703719.6143218,46527.7294242192,15.1295117575025,0,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,0,43502.5680417846,16703719.6143218,46527.7294242192,15.1295117575025,0,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,0,43502.5680417846,16703719.6143218,46527.7294242192,15.1295117575025,0,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,0,43502.5680417846,16703719.6143218,46527.7294242192,15.1295117575025,0,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,0,43502.5680417846,16703719.6143218,46527.7294242192,15.1295117575025,0,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,17845222.5248157,16259501.9186363,4.89797010575471e-25,18898.2057963598,6.62886459108383,33046708.5081808,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,17845222.5248157,16259501.9186363,4.89797010575471e-25,18898.2057963598,6.62886459108383,33046708.5081808,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,17845222.5248157,16259501.9186363,4.89797010575471e-25,18898.2057963598,6.62886459108383,33046708.5081808,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,17845222.5248157,16259501.9186363,4.89797010575471e-25,18898.2057963598,6.62886459108383,33046708.5081808,2850.89633928846
"12",12,1189,"Ethiopia","Germany, Luxembourg",500,"Peas",7.5460377,40.6346851,27593063.4930367,26344937.7672767,16076370.6664521,133451.975713165,43.7244272383433,51098267.6597038,3052.11489645625
"13",13,1189,"Ethiopia","Germany, Luxembourg",500,"Castor Oil Plant",7.5460377,40.6346851,27593063.4930367,26344937.7672767,16076370.6664521,133451.975713165,43.7244272383433,51098267.6597038,3052.11489645625
"14",14,1205,"Ethiopia","India",1000,"Corn (Maize)",7.9219687,34.1531947,920686.262580819,930014.840606305,17363025.9896263,50232.2453155702,16.4581763857887,1704974.50427647,3052.11489645625
"15",15,1205,"Ethiopia","India",1000,"Oil Palm",7.9219687,34.1531947,920686.262580819,930014.840606305,17363025.9896263,50232.2453155702,16.4581763857887,1704974.50427647,3052.11489645625
"16",16,1205,"Ethiopia","India",1000,"Rice",7.9219687,34.1531947,920686.262580819,930014.840606305,17363025.9896263,50232.2453155702,16.4581763857887,1704974.50427647,3052.11489645625
"17",17,1205,"Ethiopia","India",1000,"Sugar Cane",7.9219687,34.1531947,920686.262580819,930014.840606305,17363025.9896263,50232.2453155702,16.4581763857887,1704974.50427647,3052.11489645625
"18",18,1221,"Ethiopia","India",333.3333333333,"Pulses",8.24478,34.588169,18975048.3913364,15919544.7496296,37029068.8623028,330558.777201778,54.2188701326885,35138976.5729846,6096.74780003363
"19",19,1221,"Ethiopia","India",333.3333333333,"Corn (Maize)",8.24478,34.588169,18975048.3913364,15919544.7496296,37029068.8623028,330558.777201778,54.2188701326885,35138976.5729846,6096.74780003363
"20",20,1221,"Ethiopia","India",333.3333333333,"Soya Beans",8.24478,34.588169,18975048.3913364,15919544.7496296,37029068.8623028,330558.777201778,54.2188701326885,35138976.5729846,6096.74780003363
"21",21,1235,"Ethiopia","Saudi Arabia, Ethiopia",1400,"Pineapple",7.3410659,37.3496638,19360571.2529318,17691903.1876637,25970132.4749881,24952.8254801749,8.16619776165675,35852910.9709878,3055.62346252958
"22",22,1244,"Ethiopia","Saudi Arabia",70,"Oil Seeds",7.8916667,34.5333333,4177142.62883384,3323793.68608477,18603860.4692287,63270.1343456416,20.7299320281498,7735449.12291921,3052.11489645625
"23",23,1244,"Ethiopia","Saudi Arabia",70,"Teff",7.8916667,34.5333333,4177142.62883384,3323793.68608477,18603860.4692287,63270.1343456416,20.7299320281498,7735449.12291921,3052.11489645625
"24",24,1244,"Ethiopia","Saudi Arabia",70,"Corn (Maize)",7.8916667,34.5333333,4177142.62883384,3323793.68608477,18603860.4692287,63270.1343456416,20.7299320281498,7735449.12291921,3052.11489645625
