"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,7029942.9028498,6942507.12105898,15631072.6755739,18413.4481656416,6.0566652738131,11716571.9686467,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,10492169.3525299,10480379.2919954,21262987.6298198,19774.759469857,6.47903507591313,15293356.2156128,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,3057364.59776495,3010232.59641464,23123719.4422205,17973.2123480823,5.8443842178736,5095607.50652394,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,3057364.59776495,3010232.59641464,23123719.4422205,17973.2123480823,5.8443842178736,5095607.50652394,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,3057364.59776495,3010232.59641464,23123719.4422205,17973.2123480823,5.8443842178736,5095607.50652394,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,3057364.59776495,3010232.59641464,23123719.4422205,17973.2123480823,5.8443842178736,5095607.50652394,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,3057364.59776495,3010232.59641464,23123719.4422205,17973.2123480823,5.8443842178736,5095607.50652394,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,50267444.8347499,50598739.7307597,0,19863.092890157,6.96731502174312,93087862.6095876,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,50267444.8347499,50598739.7307597,0,19863.092890157,6.96731502174312,93087862.6095876,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,50267444.8347499,50598739.7307597,0,19863.092890157,6.96731502174312,93087862.6095876,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,50267444.8347499,50598739.7307597,0,19863.092890157,6.96731502174312,93087862.6095876,2850.89633928846
"12",12,1189,"Ethiopia","Germany, Luxembourg",500,"Peas",7.5460377,40.6346851,20552061.3236372,20400631.045428,14636177.2354755,28499.8011984996,9.33772225665231,38059369.7857735,3052.11489645625
"13",13,1189,"Ethiopia","Germany, Luxembourg",500,"Castor Oil Plant",7.5460377,40.6346851,20552061.3236372,20400631.045428,14636177.2354755,28499.8011984996,9.33772225665231,38059369.7857735,3052.11489645625
"14",14,1205,"Ethiopia","India",1000,"Corn (Maize)",7.9219687,34.1531947,16261798.196163,16299180.2699101,23529963.4800758,19288.1282810372,6.31959442399506,30114443.1048585,3052.11489645625
"15",15,1205,"Ethiopia","India",1000,"Oil Palm",7.9219687,34.1531947,16261798.196163,16299180.2699101,23529963.4800758,19288.1282810372,6.31959442399506,30114443.1048585,3052.11489645625
"16",16,1205,"Ethiopia","India",1000,"Rice",7.9219687,34.1531947,16261798.196163,16299180.2699101,23529963.4800758,19288.1282810372,6.31959442399506,30114443.1048585,3052.11489645625
"17",17,1205,"Ethiopia","India",1000,"Sugar Cane",7.9219687,34.1531947,16261798.196163,16299180.2699101,23529963.4800758,19288.1282810372,6.31959442399506,30114443.1048585,3052.11489645625
"18",18,1221,"Ethiopia","India",333.3333333333,"Pulses",8.24478,34.588169,19908030.5367476,19482534.5484695,19577524.5881981,27465.4909876418,9.00988260904948,36866722.1136334,3048.37390001681
"19",19,1221,"Ethiopia","India",333.3333333333,"Corn (Maize)",8.24478,34.588169,19908030.5367476,19482534.5484695,19577524.5881981,27465.4909876418,9.00988260904948,36866722.1136334,3048.37390001681
"20",20,1221,"Ethiopia","India",333.3333333333,"Soya Beans",8.24478,34.588169,19908030.5367476,19482534.5484695,19577524.5881981,27465.4909876418,9.00988260904948,36866722.1136334,3048.37390001681
"21",21,1235,"Ethiopia","Saudi Arabia, Ethiopia",1400,"Pineapple",7.3410659,37.3496638,6626034.80728861,6627401.85562725,23312913.1504523,11981.0303554949,3.92097733978532,12270434.7247009,3055.62346252958
