"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,0,0,18161113.4294772,46023.3539869985,15.1382862878224,0,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,0,-6.70814554886582e-11,16370378.8974385,48375.236932176,15.8497430710566,0,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,0,0,16745590.1169227,46527.7234654516,15.1295098198785,0,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,0,0,16745590.1169227,46527.7234654516,15.1295098198785,0,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,0,0,16745590.1169227,46527.7234654516,15.1295098198785,0,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,0,0,16745590.1169227,46527.7234654516,15.1295098198785,0,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,0,0,16745590.1169227,46527.7234654516,15.1295098198785,0,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,0,0,0,559.752239794085,0.196342543950157,0,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,0,0,0,559.752239794085,0.196342543950157,0,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,0,0,0,559.752239794085,0.196342543950157,0,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,0,0,0,559.752239794085,0.196342543950157,0,2850.89633928846
"12",12,1189,"Ethiopia","Germany, Luxembourg",500,"Peas",7.5460377,40.6346851,0,0,19884817.2941924,38182.6702102791,12.5102335611979,0,3052.11489645625
"13",13,1189,"Ethiopia","Germany, Luxembourg",500,"Castor Oil Plant",7.5460377,40.6346851,0,0,19884817.2941924,38182.6702102791,12.5102335611979,0,3052.11489645625
"14",14,1205,"Ethiopia","India",1000,"Corn (Maize)",7.9219687,34.1531947,0,0,17960727.4768351,50219.6547265818,16.4540511842758,0,3052.11489645625
"15",15,1205,"Ethiopia","India",1000,"Oil Palm",7.9219687,34.1531947,0,0,17960727.4768351,50219.6547265818,16.4540511842758,0,3052.11489645625
"16",16,1205,"Ethiopia","India",1000,"Rice",7.9219687,34.1531947,0,0,17960727.4768351,50219.6547265818,16.4540511842758,0,3052.11489645625
"17",17,1205,"Ethiopia","India",1000,"Sugar Cane",7.9219687,34.1531947,0,0,17960727.4768351,50219.6547265818,16.4540511842758,0,3052.11489645625
"18",18,1221,"Ethiopia","India",333.3333333333,"Pulses",8.24478,34.588169,0,-2.89729447552874e-09,41039831.3710424,225333.528663788,36.9596276661706,0,6096.74780003363
"19",19,1221,"Ethiopia","India",333.3333333333,"Corn (Maize)",8.24478,34.588169,0,-2.89729447552874e-09,41039831.3710424,225333.528663788,36.9596276661706,0,6096.74780003363
"20",20,1221,"Ethiopia","India",333.3333333333,"Soya Beans",8.24478,34.588169,0,-2.89729447552874e-09,41039831.3710424,225333.528663788,36.9596276661706,0,6096.74780003363
"21",21,1235,"Ethiopia","Saudi Arabia, Ethiopia",1400,"Pineapple",7.3410659,37.3496638,0,6.6713963192626e-10,26437342.2260209,4987.91656754286,1.6323727804517,0,3055.62346252958
"22",22,1244,"Ethiopia","Saudi Arabia",70,"Oil Seeds",7.8916667,34.5333333,0,-1.52018468259293e-09,20466535.4160376,58963.2303508387,19.3188108413939,0,3052.11489645625
"23",23,1244,"Ethiopia","Saudi Arabia",70,"Teff",7.8916667,34.5333333,0,-1.52018468259293e-09,20466535.4160376,58963.2303508387,19.3188108413939,0,3052.11489645625
"24",24,1244,"Ethiopia","Saudi Arabia",70,"Corn (Maize)",7.8916667,34.5333333,0,-1.52018468259293e-09,20466535.4160376,58963.2303508387,19.3188108413939,0,3052.11489645625
"25",25,1244,"Ethiopia","Saudi Arabia",70,"Rice",7.8916667,34.5333333,0,-1.52018468259293e-09,20466535.4160376,58963.2303508387,19.3188108413939,0,3052.11489645625
"26",26,1244,"Ethiopia","Saudi Arabia",70,"Sugar Cane",7.8916667,34.5333333,0,-1.52018468259293e-09,20466535.4160376,58963.2303508387,19.3188108413939,0,3052.11489645625
"27",27,1297,"Ethiopia","United States of America",3000,"Wheat",6.916667,37.233333,0,0,26894259.6338454,43163.2058877778,14.1106983971974,0,3058.89933104591
"28",28,1303,"Ethiopia","India",23.3333333333,"Coffee Plant",7.3187397,35.1268781,0,1.77222614322662e-11,25270871.397233,56913.2427570273,18.625738234747,0,3055.62346252958
"29",29,1303,"Ethiopia","India",23.3333333333,"Eucalyptus",7.3187397,35.1268781,0,1.77222614322662e-11,25270871.397233,56913.2427570273,18.625738234747,0,3055.62346252958
"30",30,1303,"Ethiopia","India",23.3333333333,"Tea",7.3187397,35.1268781,0,1.77222614322662e-11,25270871.397233,56913.2427570273,18.625738234747,0,3055.62346252958
"31",31,1304,"Ethiopia","India",312.5,"Oil Seeds",11.75,36.183333,0,-1.45747138880377e-10,21016316.5647412,26058.5316554358,8.6409418015253,0,3015.70503007391
"32",32,1304,"Ethiopia","India",312.5,"Oil Seeds",11.75,35.2876256,0,0,15722970.1242035,44991.8513052048,14.919181702629,0,3015.70503007391
"33",33,1304,"Ethiopia","India",312.5,"Oil Seeds",11.269533,36.183333,0,-2.16497446834754e-10,21946123.8919601,35631.7161860895,11.794425843254,0,3021.06407379463
"34",34,1304,"Ethiopia","India",312.5,"Oil Seeds",11.269533,35.2876256,0,3.49054879620113e-11,19368533.3638174,54832.0354746428,18.149908156622,0,3021.06407379463
"35",35,1304,"Ethiopia","India",312.5,"Pongamia Pinnata",11.75,36.183333,0,-1.45747138880377e-10,21016316.5647412,26058.5316554358,8.6409418015253,0,3015.70503007391
"36",36,1304,"Ethiopia","India",312.5,"Pongamia Pinnata",11.75,35.2876256,0,0,15722970.1242035,44991.8513052048,14.919181702629,0,3015.70503007391
"37",37,1304,"Ethiopia","India",312.5,"Pongamia Pinnata",11.269533,36.183333,0,-2.16497446834754e-10,21946123.8919601,35631.7161860895,11.794425843254,0,3021.06407379463
"38",38,1304,"Ethiopia","India",312.5,"Pongamia Pinnata",11.269533,35.2876256,0,3.49054879620113e-11,19368533.3638174,54832.0354746428,18.149908156622,0,3021.06407379463
"39",39,1305,"Ethiopia","Pakistan",26000,"Sugar Cane",7.5460377,40.6346851,0,0,19884817.2941924,38182.6702102791,12.5102335611979,0,3052.11489645625
"40",40,1319,"Ethiopia","Netherlands, Ethiopia",200,"Jatropha",7.5460377,40.6346851,0,0,19884817.2941924,38182.6702102791,12.5102335611979,0,3052.11489645625
"41",41,1322,"Ghana","Italy",1400,"Jatropha",8.2166667,-0.65,0,0,17839499.3443037,49406.5263636532,16.2075020926339,0,3048.37390001681
"42",42,1323,"Ghana","Israel",1000,"Jatropha",6.5781373,0.4502368,0,0,17686399.4771734,50243.6555131591,16.4254034133185,0,3058.89933104591
"43",43,1337,"Ghana","United States of America",9.375,"Cacao",5.8827593,0.3607137,0,-6.34297370746666e-10,12828115.8158732,39636.3747984437,12.9329795231895,0,3064.75199526711
"44",44,1337,"Ghana","United States of America",9.375,"Cacao",5.8827593,-0.7152749,0,0,13387329.238032,43664.1973880662,14.2472204783606,0,3064.75199526711
"45",45,1337,"Ghana","United States of America",9.375,"Cacao",5.4354319,0.3607137,0,-6.34297370746666e-10,12828115.8158732,39636.3747984437,12.9329795231895,0,3064.75199526711
"46",46,1337,"Ghana","United States of America",9.375,"Cacao",5.4354319,-0.7152749,0,0,13947089.9402055,44520.3753662141,14.5143820141989,0,3067.32834526894
"47",47,1337,"Ghana","United States of America",9.375,"Sun Flower",5.8827593,0.3607137,0,-6.34297370746666e-10,12828115.8158732,39636.3747984437,12.9329795231895,0,3064.75199526711
"48",48,1337,"Ghana","United States of America",9.375,"Sun Flower",5.8827593,-0.7152749,0,0,13387329.238032,43664.1973880662,14.2472204783606,0,3064.75199526711
"49",49,1337,"Ghana","United States of America",9.375,"Sun Flower",5.4354319,0.3607137,0,-6.34297370746666e-10,12828115.8158732,39636.3747984437,12.9329795231895,0,3064.75199526711
"50",50,1337,"Ghana","United States of America",9.375,"Sun Flower",5.4354319,-0.7152749,0,0,13947089.9402055,44520.3753662141,14.5143820141989,0,3067.32834526894
"51",51,1337,"Ghana","United States of America",9.375,"Jatropha",5.8827593,0.3607137,0,-6.34297370746666e-10,12828115.8158732,39636.3747984437,12.9329795231895,0,3064.75199526711
"52",52,1337,"Ghana","United States of America",9.375,"Jatropha",5.8827593,-0.7152749,0,0,13387329.238032,43664.1973880662,14.2472204783606,0,3064.75199526711
"53",53,1337,"Ghana","United States of America",9.375,"Jatropha",5.4354319,0.3607137,0,-6.34297370746666e-10,12828115.8158732,39636.3747984437,12.9329795231895,0,3064.75199526711
"54",54,1337,"Ghana","United States of America",9.375,"Jatropha",5.4354319,-0.7152749,0,0,13947089.9402055,44520.3753662141,14.5143820141989,0,3067.32834526894
"55",55,1337,"Ghana","United States of America",9.375,"Oil Palm",5.8827593,0.3607137,0,-6.34297370746666e-10,12828115.8158732,39636.3747984437,12.9329795231895,0,3064.75199526711
"56",56,1337,"Ghana","United States of America",9.375,"Oil Palm",5.8827593,-0.7152749,0,0,13387329.238032,43664.1973880662,14.2472204783606,0,3064.75199526711
"57",57,1337,"Ghana","United States of America",9.375,"Oil Palm",5.4354319,0.3607137,0,-6.34297370746666e-10,12828115.8158732,39636.3747984437,12.9329795231895,0,3064.75199526711
"58",58,1337,"Ghana","United States of America",9.375,"Oil Palm",5.4354319,-0.7152749,0,0,13947089.9402055,44520.3753662141,14.5143820141989,0,3067.32834526894
"59",59,1338,"Ghana","United Kingdom of Great Britain and Northern Ireland, Ghana",5,"Jatropha",7.946527,-1.023194,0,0,17652224.3080989,49807.6840313682,16.3190724206349,0,3052.11489645625
"60",60,1348,"Ghana","United States of America, Ghana",303,"Rice",6.5781373,0.4502368,0,0,17686399.4771734,50243.6555131591,16.4254034133185,0,3058.89933104591
"61",61,1363,"Kenya","Canada",19,"Jatropha",-2.2694764,40.1107088,0,-2.94920568663391e-10,14233257.8295791,34756.2014118711,11.2922702365451,0,3077.87545673409
