"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,18422473.0331558,17241576.6768827,16918322.071853,0,0,30704119.8663381,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,15330465.3799163,15205022.041896,21734543.4796211,0,0,22345642.6782162,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,5471995.77037256,5347397.84895102,24144688.1108544,0,0,9119993.10703858,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,5471995.77037256,5347397.84895102,24144688.1108544,0,0,9119993.10703858,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,5471995.77037256,5347397.84895102,24144688.1108544,0,0,9119993.10703858,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,5471995.77037256,5347397.84895102,24144688.1108544,0,0,9119993.10703858,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,5471995.77037256,5347397.84895102,24144688.1108544,0,0,9119993.10703858,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,53146937.139883,53409211.2508621,0,0,0,98420256.7983817,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,53146937.139883,53409211.2508621,0,0,0,98420256.7983817,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,53146937.139883,53409211.2508621,0,0,0,98420256.7983817,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,53146937.139883,53409211.2508621,0,0,0,98420256.7983817,2850.89633928846
"12",12,1189,"Ethiopia","Germany, Luxembourg",500,"Peas",7.5460377,40.6346851,33434443.3031062,33161198.5441876,16505287.4428495,0,0,61915634.2286045,3052.11489645625
"13",13,1189,"Ethiopia","Germany, Luxembourg",500,"Castor Oil Plant",7.5460377,40.6346851,33434443.3031062,33161198.5441876,16505287.4428495,0,0,61915634.2286045,3052.11489645625
"14",14,1205,"Ethiopia","India",1000,"Corn (Maize)",7.9219687,34.1531947,21593280.7081897,21401988.8854526,24156068.040909,0,0,39987556.0390788,3052.11489645625
"15",15,1205,"Ethiopia","India",1000,"Oil Palm",7.9219687,34.1531947,21593280.7081897,21401988.8854526,24156068.040909,0,0,39987556.0390788,3052.11489645625
"16",16,1205,"Ethiopia","India",1000,"Rice",7.9219687,34.1531947,21593280.7081897,21401988.8854526,24156068.040909,0,0,39987556.0390788,3052.11489645625
"17",17,1205,"Ethiopia","India",1000,"Sugar Cane",7.9219687,34.1531947,21593280.7081897,21401988.8854526,24156068.040909,0,0,39987556.0390788,3052.11489645625
"18",18,1221,"Ethiopia","India",333.3333333333,"Pulses",8.24478,34.588169,24180485.4511337,24256944.1163237,21468601.1242162,0,0,44778677.5882831,3048.37390001681
"19",19,1221,"Ethiopia","India",333.3333333333,"Corn (Maize)",8.24478,34.588169,24180485.4511337,24256944.1163237,21468601.1242162,0,0,44778677.5882831,3048.37390001681
"20",20,1221,"Ethiopia","India",333.3333333333,"Soya Beans",8.24478,34.588169,24180485.4511337,24256944.1163237,21468601.1242162,0,0,44778677.5882831,3048.37390001681
"21",21,1235,"Ethiopia","Saudi Arabia, Ethiopia",1400,"Pineapple",7.3410659,37.3496638,19131972.0496404,18756011.3764586,26975500.4803261,0,0,35429577.3171104,3055.62346252958
"22",22,1244,"Ethiopia","Saudi Arabia",70,"Oil Seeds",7.8916667,34.5333333,19998304.7768626,19767721.4457051,26617567.7813736,0,0,37033897.1829714,3052.11489645625
"23",23,1244,"Ethiopia","Saudi Arabia",70,"Teff",7.8916667,34.5333333,19998304.7768626,19767721.4457051,26617567.7813736,0,0,37033897.1829714,3052.11489645625
"24",24,1244,"Ethiopia","Saudi Arabia",70,"Corn (Maize)",7.8916667,34.5333333,19998304.7768626,19767721.4457051,26617567.7813736,0,0,37033897.1829714,3052.11489645625
"25",25,1244,"Ethiopia","Saudi Arabia",70,"Rice",7.8916667,34.5333333,19998304.7768626,19767721.4457051,26617567.7813736,0,0,37033897.1829714,3052.11489645625
"26",26,1244,"Ethiopia","Saudi Arabia",70,"Sugar Cane",7.8916667,34.5333333,19998304.7768626,19767721.4457051,26617567.7813736,0,0,37033897.1829714,3052.11489645625
"27",27,1297,"Ethiopia","United States of America",3000,"Wheat",6.916667,37.233333,22849880.9187057,23331271.0935203,25492399.1537377,0,0,42314596.0917551,3058.89933104591
"28",28,1303,"Ethiopia","India",23.3333333333,"Coffee Plant",7.3187397,35.1268781,18551528.5470649,18495363.9348981,27630247.629368,0,0,34354681.9419707,3055.62346252958
"29",29,1303,"Ethiopia","India",23.3333333333,"Eucalyptus",7.3187397,35.1268781,18551528.5470649,18495363.9348981,27630247.629368,0,0,34354681.9419707,3055.62346252958
"30",30,1303,"Ethiopia","India",23.3333333333,"Tea",7.3187397,35.1268781,18551528.5470649,18495363.9348981,27630247.629368,0,0,34354681.9419707,3055.62346252958
"31",31,1304,"Ethiopia","India",312.5,"Oil Seeds",11.75,36.183333,26063843.6556261,26302083.2486177,20577474.7911449,0,0,48266377.4127357,3015.70503007391
"32",32,1304,"Ethiopia","India",312.5,"Oil Seeds",11.75,35.2876256,30107157.9053868,30003971.6114501,16171442.1277298,0,0,55753995.3030243,3015.70503007391
"33",33,1304,"Ethiopia","India",312.5,"Oil Seeds",11.269533,36.183333,27425564.1045156,27363324.7266184,19630663.776861,0,0,50788080.9920989,3021.06407379463
"34",34,1304,"Ethiopia","India",312.5,"Oil Seeds",11.269533,35.2876256,26345410.1560851,26564134.9000021,19210867.8946439,0,0,48787795.0828967,3021.06407379463
"35",35,1304,"Ethiopia","India",312.5,"Pongamia Pinnata",11.75,36.183333,26063843.6556261,26302083.2486177,20577474.7911449,0,0,48266377.4127357,3015.70503007391
"36",36,1304,"Ethiopia","India",312.5,"Pongamia Pinnata",11.75,35.2876256,30107157.9053868,30003971.6114501,16171442.1277298,0,0,55753995.3030243,3015.70503007391
"37",37,1304,"Ethiopia","India",312.5,"Pongamia Pinnata",11.269533,36.183333,27425564.1045156,27363324.7266184,19630663.776861,0,0,50788080.9920989,3021.06407379463
"38",38,1304,"Ethiopia","India",312.5,"Pongamia Pinnata",11.269533,35.2876256,26345410.1560851,26564134.9000021,19210867.8946439,0,0,48787795.0828967,3021.06407379463
"39",39,1305,"Ethiopia","Pakistan",26000,"Sugar Cane",7.5460377,40.6346851,33434443.3031062,33161198.5441876,16505287.4428495,0,0,61915634.2286045,3052.11489645625
"40",40,1319,"Ethiopia","Netherlands, Ethiopia",200,"Jatropha",7.5460377,40.6346851,33434443.3031062,33161198.5441876,16505287.4428495,0,0,61915634.2286045,3052.11489645625
"41",41,1322,"Ghana","Italy",1400,"Jatropha",8.2166667,-0.65,20560950.7724138,20744638.371079,22728126.1832604,0,0,34268251.2873564,3048.37390001681
"42",42,1323,"Ghana","Israel",1000,"Jatropha",6.5781373,0.4502368,20086377.0913577,20131986.1317374,20645897.6489882,0,0,33477293.2852589,3058.89933104591
"43",43,1337,"Ghana","United States of America",9.375,"Cacao",5.8827593,0.3607137,23368522.5888046,23418472.5842451,18154736.7148836,0,0,38947535.7774316,3064.75199526711
"44",44,1337,"Ghana","United States of America",9.375,"Cacao",5.8827593,-0.7152749,14298160.4744038,14256494.3255277,22642308.8027191,0,0,23830266.8338142,3064.75199526711
"45",45,1337,"Ghana","United States of America",9.375,"Cacao",5.4354319,0.3607137,23368522.5888046,23418472.5842451,18154736.7148836,0,0,38947535.7774316,3064.75199526711
