name;cow;row
Afghanistan;0;0
Albania;1;1
Algeria;2;2
American_Samoa;3;3
Angola;4;4
Argentina;5;5
Armenia;6;6
Austria;7;7
Azerbaijan;8;8
Bahamas;9;9
Bangladesh;10;10
Belgium;11;11
Belize;12;12
Benin;13;13
Bhutan;14;14
Bolivia;15;15
Bosnia_and_Herzegovina;16;16
Botswana;17;17
Brunei_Darussalam;18;18
Bulgaria;19;19
Burkina Faso;20;20
Burundi;21;21
Belarus;22;22
Cambodia;23;23
Cameroon;24;24
Cape_Verde;25;25
Cayman_Islands;26;26
Central African Republic;27;27
Chad;28;28
Chile;29;29
Colombia;30;30
Comoros;31;31
Congo;32;32
Cook_Islands;33;33
Costa_Rica;34;34
Croatia;35;35
Cuba;36;36
Cyprus;37;37
Czech_Republic;38;38
Denmark;39;39
Djibouti;40;40
Dominican_Republic;41;41
Ecuador;42;42
Egypt;43;43
El_Salvador;44;44
Equatorial_Guinea;45;45
Eritrea;46;46
Estonia;47;47
Ethiopia;48;48
Falkland_Islands_or_Islas_Malvinas;49;49
Faroe_Islands;50;50
Micronesia;51;51
Fiji;52;52
Finland;53;53
France;54;54
French_Guiana;55;55
French_Polynesia;56;56
French_Southern_and_Antarctica_Lands;57;57
Gabon;58;58
Gambia;59;59
Georgia;60;60
Germany;61;61
Ghana;62;62
Greece;63;63
Greenland;64;64
Guadeloupe;65;65
Guatemala;66;66
Guinea;67;67
Guinea-Bissau;68;68
Guyana;69;69
Haiti;70;70
Honduras;71;71
Hungary;72;72
Iceland;73;73
Indonesia;74;74
Iran;75;75
Iraq;76;76
Ireland;77;77
Israel;78;78
Italy;79;79
Cote d'Ivoire;80;80
Jamaica;81;81
Japan;82;82
Jordan;83;83
Kazakhstan;84;84
Kenya;85;85
Kiribati;86;86
Kuwait;87;87
Kyrgyzstan;88;88
Laos;89;89
Latvia;90;90
Lebanon;91;91
Lesotho;92;92
Liberia;93;93
Libya;94;94
Lithuania;95;95
Luxembourg;96;96
Macedonia;97;97
Madagascar;98;98
Malawi;99;99
Malaysia;100;100
Maldives;101;101
Mali;102;102
Marshall_Islands;103;103
Mauritania;104;104
Mauritius;105;105
Mexico;106;106
Republic_of_Moldova;107;107
Mongolia;108;108
Montenegro;109;109
Morocco;110;110
Mozambique;111;111
Myanmar;112;112
Namibia;113;113
Nepal;114;114
Netherlands;115;115
New_Caledonia;116;116
New_Zealand;117;117
Nicaragua;118;118
Niger;119;119
Nigeria;120;120
North_Korea;121;121
Northern_Mariana_Islands;122;122
Norway;123;123
Oman;124;124
Pakistan;125;125
Panama;126;126
Papua_New_Guinea;127;127
Paraguay;128;128
Peru;129;129
Philippines;130;130
Pitcairn_Islands;131;131
Poland;132;132
Portugal;133;133
Puerto_Rico;134;134
Qatar;135;135
Reunion;136;136
Romania;137;137
Rwanda;138;138
Sao_Tome_and_Principe;139;139
Saudi_Arabia;140;140
Senegal;141;141
Serbia;142;142
Sierra Leone;143;143
Slovakia;144;144
Slovenia;145;145
Solomon_Islands;146;146
Somalia;147;147
South Africa;148;148
South_Georgia_and_the_South_Sandwich_Islands;149;149
South_Korea;150;150
Spain;151;151
Sri_Lanka;152;152
Saint_Vincent_and_the_Grenadines;153;153
Sudan;154;154
South Sudan;154;154
Suriname;155;155
Svalbard;156;156
Swaziland;157;157
Sweden;158;158
Switzerland;159;159
Syria;160;160
Taiwan;161;161
Tajikistan;162;162
United Republic of Tanzania;163;163
Thailand;164;164
Togo;165;165
Tokelau;166;166
Trinidad_and_Tobago;167;167
Tunisia;168;168
Turkey;169;169
Turkmenistan;170;170
Tuvalu;171;171
Uganda;172;172
Ukraine;173;173
United_Arab_Emirates;174;174
United_Kingdom;175;175
Uruguay;176;176
Uzbekistan;177;177
Vanuatu;178;178
Venezuela;179;179
Vietnam;180;180
British_Virgin_Islands;181;181
Wake_Islands;182;182
West_Bank;183;183
Western_Sahara;184;184
Western_Samoa;185;185
Yemen;186;186
Democratic Republic of the Congo;187;187
Zambia;188;188
Zimbabwe;189;189
Australia;190;190
Brazil;191;191
Canada;192;192
China;193;193
India;194;194
Russia;195;195
United_States_of_America;196;196

United Republic of Tanzania, Zambia;163;163
